tick,time
1844,0
1845,0.7542
1846,0.0542
1847,2.4839
1848,0.7025
1849,0.0403
1850,0.0258
1851,0.1106
1852,0.7927
1853,0.0553
1854,0.081
1855,0.0396
1856,0.7865
1857,0.0419
1858,0.9516
1859,0.0353
1860,0.0438
1861,0.0375
1862,0.0379
1863,0.235
1864,2.1153
1865,0.0339
1866,0.1738
1867,0.0425
1868,1.0247
1869,0.0411
1870,0.9601
1871,0.1342
1872,0.0341
1873,0.0539
1874,0.5308
1875,0.5557
1876,0.5783
1877,0.8551
1878,0.0332
1879,0.0337
1880,0.9991
1881,0.3768
1882,2.8834
1883,0.2892
1884,0
1885,0.0381
1886,0.8915
1887,0.4622
1888,0.1151
1889,0.0399
1890,0.8663
1891,0.1098
1892,0.0621
1893,0.5642
1894,0.9124
1895,1.0071
1896,0.0485
1897,3.041
1898,0.5886
1899,0.8699
1900,0.0514
1901,0.5881
1902,3.7948
1903,0.0425
